Text,Bullying?
BITCH IS THAT GUCCI,1
I aint Gucci gang but you know I got that pump bitch,1
I dare a nigga to tell me Im not Gucci in my own town,1
im so sorry for saying 420 gucci gang ive had that vine stuxk in my head all day anyway i fucking hate teru,1
Wheres ur k rool at my nibber,1
IM NIBBER FKEDDDDDDDD,1
Roasted like sunday dinner nibber ,1
Who allowed u to say the nibber word,1
Me nibber jk u cringe asf,1
Shut up nibber no,1
MMMkk Youre a nibber Neck  yourself,1
Come play duos nibber,1
Maybe its playground tactics Like when Nibber used to kick girls in night clubs because he fancied them,1
This nibber look like he boutta let the heat go off,1
dont drop people from your team from saying the n word your fucking nibber,1
gay you nibber,1
Shut the freak up nibber,1
Doesnt matter where I tweet from NiBBer,1
jokes on you im steppe AND sand nibber,1
Nibber who told you this He isnt Turkish Unless youre being sarcastic lmao,1
You big fabbot why are you not reviewing Is it because you are a fabbot and dislike him because he is a nibber,1
you cant upload it without it nibber,1
I like performing magic Ive got this spell where I call someone a Nibber and they act in an uncontrollable rage,1
something about nibber thats 10 times funnier than nibba,1
You dont get to tell strangers anything Youre not in charge of anyone but you And youre supporting racistsjut called me nibber because hes too cowardly to write nigger You dont care cuz youre racist,1
i walk around like im that nibber,1
sinigang is meant to be sour you uncultured nibber ,1
im unfollowing some dumb bitchesnibbers  so if i unfollowed u u a dumb bitch or a dumb nibber hehe x bye,1
sign me up nibber ,1
Kpop is just nibber dance culture in asian,1
MOTHER DUCKING NIBBER WIBBER BOOTY HOLE BEACH CRAP,1
Lmao they made nibber into a country,1
Seethats the difference between a black man and a niBBer And you are a niBBer,1
Find the weed smokers Easy its the nibber emojis,1
everybody type in the chat alex is a stupid nibber,1
I got banned for pointing out nibber is just a way to get away with saying nigger and they banned me cuz I said nigger Niggas is sensitive as shit over that word no matter the context W A C K,1
Im at my 3 year old nephews house and the nibber just won a fortnite game ,1
my boyfriend just called me a mcbitch chicken nibber,1
They let me loose on the radio innit nibber ,1
easy with that r word nibber we run a tight ship over here,1
u need dick wo complications woke thishitme,1
Me Human beings need exercise Woke Twitter FUCK you I dont exercise I have NEVER exercised and Im fine My kids CANT exercise because they were hurt so now youre mocking them I demand you take that back and apologize Terry Crews do better Also me pictwittercomzUNX6aROOm,1
Soooo were not entitled to our personal opinion without getting ridiculed Stop riding the woke wagon,1
and stop shaming and blaming CHR if you dont even know its function Its obvious youve just jumped into the bandwagon and started spouting bullshit out of your ass for the sake of creating a woke persona youd eventually forget two days after,1
Google ousted the photo of antifa beating that old man in the wheel chair This one will have to do them sporting the American shame burka for doing things so humiliating that they must cover their faces It goes hand in hand with the avoidance of responsibilityWokeAF woke,1
make sure to check ur local woke white gays that are stanning billy eyelash  pictwittercomTeD50dq1FY,1
You be giving them attention but they wont seem to notice But when its night time and they come to discover how alone and lonely they are They be like Hi big head Lol My head is not big in chisos name Woke,1
Me gotta practice self love WOKE Not taking care of myself  hey bitch,1
Eating at a suspect Chinese restaurant in Brownsville and cant help but look at every bite to make sure aint nothing funny going on woke,1
To make a sloppy fuck in her bellyin the rolling stones woke pictwittercomYwLgUozW8z,1
Who wants to spank me  jailbait thot,1
Ok i saw her twitter and shes a thot GOING UP,1
Typical THOT,1
Not sure what my thot process was here but Belle I jerk off to you until I ripped my forskin off my 8D,1
for all ye hoes coming for my brandFUCK OFF thot backoff,1
Anyone have some thoughts about thots they want to share thotthots,1
We dont need no education We dont need no thot control,1
