post,bully
Fuck Justin bieber He   s a fucking fag UM excuse yuh HE IS NOT Ur a fuckin idiot Kay good,1
Hahah Funny how u defend that beiber kid amp its also funny how u stalked my whole twitter Nice goin BITCH,1
Hey Why you such a bitch Why thank yuh,1
how old are u And how do you know michael Who the hell are yuh And who tha fuck is michael,1
What was your favorite toy to play with as a child Now how the fuck am i suppose to remember that Weirdo maybe it was ur moms dick lOL,1
who decided to take a shit on your face im not quite sure ill tell ya when i find out I promise,1
Why do u follow the bandwagon Formspring Twitter What   s next gay Justin beiber Well im not following anything and really BANDWAGON soo oldd Its more like trend these days Justin Bieber Idiot Cnt spell,1
lmao quot yurr reall funny skinny ass bitchh quot hm that isn   t really much of an insult now is it what if i was fat lol u suck at talkn shit later white trash skank ur super ugly nd that guy u like really isnt gonna come back around for u laterrrr ahhaha yuurr funnyy reall funny ndd i dntt want hatt guy too comee bckk too mee anyyy moree ndd yeahh i suck at tlking shit i jstt dntt tlk shitt over thiss i wouldd tlk itt to yuurr face iff i knew whoo thiss wass BITCH gett a life ndd stopp worrying aboutt mines,1
lol how cute u have friends that back u up doesnt matter ur still a fake bitch go find a real bf not someone out of ur league lol ugly ass wow yeahh im a fake bitch yuur thee onee thatss scaredd to sayy all thiiss shitt in myy face bitchh scard too gett fuckedd uuppp yurr reall funny skinny ass bitchh,1
shit talkin bitch wow reallyy whyy aree yuu tlking all thiis shitt over thiiss formsprings ndd nott inn myy facee whooss thee pussy,1
still a bitch oh wow okay butt yuurr thee onee thattss tlking shittt cuzz idntt evnn knoo whooo thiisss iss,1
Suck it ahaha all readyy h,1
whyy aree youu suchh aa faggottt ahahaha i noo,1
your ugly oohhh well thanksss yuuur soo,1
quot I have one for your information quot WTF That   s MY LIFE NOT YOURS You best think twice before you try to steal my stuff bitch BITCH WHO THE FUCK SAID I WAS STEALIING YOUR STUFF DUMB FUCK,1
quot Show your face Anonymous quot WTF You make no sense you fake ugly bitch i never said i did,1
are you all you can say lmfaoo well your fake everyone knows it no need to go on about it sayoonarra i can say more IM NOT FAKE,1
im sorry im not the one being a fake of some lady lol comeon now be your damn self and im not fucking mental i know what js means i think you need to stfu and get a damn life instead of beng on here and faking some girl btw NICE COMEBACK I didn t say you were mental i put that because some people don t what means duh Your comebacks suck too,1
you are fake though D that makes no sense lolol why would you keep faking all these formsprings your stuuupid p we all know the real ashlee girls formspring already soo fuck off may you bitch i aint fake she is,1
3 wow ashleeee your fakes amuse me lmao okay you are retarded to keep this page upp your retarded,1
im very sexy My fucking ass duuude that made me laugh so fucking hardd thank   s for making my day D your welcome faggot,1
13 r you   re at the perfect age to learn how to suck dick and give hand jobs SICKO,1
ahaha my mom is dead but thanks ugly ass bitch that NO BODY knows and has no life and has to talk shit on formspring to pretty girls that she is jelouse of alright bitch you ain t pretty pshh don t make me laugh,1
and you called me fat why i don t know I m sorry,1
ashlee cyrus r cyrus is a lame last name r everyone knows if your a cyrus you gotta be fake and you   re probably reall ugly in real life r LMFAO duh of course cyrus isn t my real last name it s my fake last name,1
baha actually im going to go on now BITCH ARE YOU FUCKING STUPID the REAL ashlee has a proof video your dumb your probably just some old man behind a computer screen nope,1
BETTY IS LIKE ADORABLE YOU LOOK LIKE A CRACK HEADS SHIT IN A TOILET MY DEAR that doesn t even make sense,1
BITCH STFU AT LEAST I RECOGNIZE MYSELF NOT LYK U should i care bitch,1
Chick Are you a fucking lesbain No are you,1
do i even know you and why the fuck are you leaving shit on my wall seriously get a life cuz i felt like it i have one,1
Does it make you mad you have tonsssss of hate groups on myspace I don t care anymore,1
