Text,Bullying?
every new day is another chance to change your life,0
it takes 30 seconds to type a text message that will make her smile for hours,0
"ve you to reminder stay strong, you can do it view s close aÃÂ½ÃÂ±ÃÂ¿ÃÂ¿Ãâ¦ÃÂ½ÃÂ¿Ãâ wer asdfghjkl",0
the truth is you don'i know what is going to happen omorrow. lne is a crazy tide and noting is guaranteed. eminem auotesberry.com,0
you can't judge my choices without knowing my reasons le velin's photographyl,0
tomorrow is june,0
life is like a roller coaster it has its ups and downs. but it's your choice to scream or enjoy the ride w.,0
you can't judge my choices without knowing my reasons le velin's photographyl,0
they'll judge you anyway.,0
"tyler, the creator @fucktyler follow hahahahahahahaha how the fuck is cyber bullying real hahahaha nigga just walk away from the screen like nigga close your eyes haha retweets favorites 207,486 171,519 12:56 am-31 dec 2012",0
bro's are buddies not think bullies twice before saying something bully not so nice. busters stop cyberbullying know how to help by visiting posta www.mzdemonicgaming.tumblr.com,0
8:55 mail lol 4068 feet away today who is domochow on your instagram? seems rude to you 8:54 am,0
"favourite words the bigger they are, the more frequently they were tweeted: - teeth yknow whos fuck fic incest fucked tua luther playlist writing horny ugh fucking klaus page theres dude dirk glass immediately bro fives actor handler literally allison adt gross theyre girlie dick character yall hes vanya diego kin irt tho dave tumblr academy porn ben",0
okay cool we can be like obama and what's the other dude name except im obama and you're the other dude,0
ana 1013 i'm calling the police,0
psst 13:44 what does your crusty ass want at 1am 14:09,0
6 in 10 young people are more likely to battle on alone than ask for help,0
1 out of 3 internet users world wide is a child,0
how to support your child if they're being bullied online report bullying on social media check in with them regularly call our online safety o2 helpline on 0808 800 5002,0
"i have failed you. i'm sorry. i hope you have been entertained by my videos and that i have been the reason for the smile on your face. i love you. thank you for being so kind to me. i don't deserve it. i love you, so much. 14 hours ago e 448 57 nisha ezzati subscribed 114k subscribers",0
ti qgretweeted ferdinand.@poltergeyst 2h i don't understand why any twitter bambiala will look down on any roadside bambiala. they are your professional colleagues with no data. l 428 56 437,0
parent how do i know if my child is cyberbullying others? office of the esafety commissioner australian government,0
i say no to cyber bullies,0
prevent cyberbullying with good digital etiquette! be nice! stopbullying.gov,0
patricia eflopstar idk why black ppl think big lips are normal 24/03/2016 14:01 #bwigm jamzldn how are you talking about normal when your eyes don't share the same postcode patricia @flopstar idk why black ppl think big lips are normal 24/03/2016 15:01,1
smokey remember! only you can go fuck sokey yourself,1
you shutyour whore mouth when billy mays is talking,1
ever wonder if asians make fun of caucasians? hwwod rook at me! my name is erizabeth and i am from ros angeres hahahahahahaha,1
her: smoking doesn't make you cool- me: and tattooing bible verses doesn't make you an angel stephanie shut ur whore mouth,1
"when you get up for a second plate and someone says ""thought you were dieting?"" i will stab u in the neck susan auakunw",1
of course we shouldn't offend fat people but maybe if we ban all the fat people there would be no one to get offended,1
hi i'm demi lovato and you're watching the disney channel disned channe,1
-your pug is fucking amazing -that's my son,1
you can't hate jews when there is no jews. -adolf 1942,1
"when you accidentally bump into the retarded kid and he says ""watch where you going fucking retard"" @ extendo",1
imay be blind but at least i'm not black,1
when igrow up.. lol nevermind,1
when your spanish speaking friends tell a joke but the punchline is in spanish so you can't ajajaja with them @whitepeoplehumor wall,1
memes about the notre dame are offensive to french people,1
"barry @djgeebill most rapists coming from mexico are just frat boys returning from spring break 3/14/17, 10:56 pm 81.8k retweets 240k likes weavemama bloop yourshipsaregross i just witnessed a murder dynastyinoire expose them source: weavemama 21,638 notes",1
"""you will respect my authoritah""",1
donald j. trump @realdonaldtrunp whoever made this is getting deported ackan a ccat aga 17:55 1/8/19 twitter web client,1
lee rose fan acct @gerxldhxyes travis scott look like bacteria,1
doctor: the disease is gone her: so my son is gonna be okay? doctor: i just told u he's gone paitpisÃÂ± depeditohotos tohotos ostongka jcoestopotos dapetch oitekotos @tajmemehal,1
humormeetscomics.com.humormeetscomics.com humormeetscomics.com humormeetscomics.com just checking humormeet scomics.com humormeetsoom on you... anneetscomics.com humormeetscomies.com.humormeetscom.ics.com i heard a loud pop humormeetsonmics.com.aumomeetsaumics.com and thought you may huriomeetscomis have pulled your head humormeetscemics.com.fumormeetscomics.com chuniomeescomius.com your ass. out humormeetscomics.com humormeetscomics.com www.facebook.com/humormeetscomics2,1
"a whore's favorite line is, ""don't judge me. you don't knowwhat've been through."" pacedook& fuck gou. n's unng yes i do. dick. lots and lots of dick.",1
fuck you bitches,1
tweet @jaeminshole sometimes i think j hope is the uglies idol but then i remember woojin exists 19:05 26/03/2019 twitter for iphone,1
